,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
0,1.4095000000000002,-0.0,-199.10263672255002,-0.21911999999999998
1,1.1220999999999999,3.706611679488196,-92.87835204708998,0.05343
2,1.0238999999999998,7.4134877204113465,-88.10509235630998,0.037105
3,0.94746,11.12009939989954,-83.45682550943398,0.027636
4,0.87952,14.826446717952784,-78.697291992208,0.021401
5,0.81638,18.53305839744098,-73.831800072902,0.017141999999999998
6,0.75693,22.239670076929173,-69.049027031997,0.013831999999999999
7,0.7007999999999999,25.945753033547465,-64.47512929631999,0.010909
8,0.64773,29.653422158775477,-60.091817479316994,0.0083494
9,0.5974999999999999,33.35976947682872,-55.78443760774999,0.006477600000000001
10,0.54992,37.06611679488196,-51.590126268367996,0.005101
11,0.50487,40.772464112935204,-47.705644421223,0.0034961999999999997
12,0.46218000000000004,44.47881143098844,-43.700330359722,0.0031016
13,0.42189,48.18515874904169,-39.988328297181,0.0024925999999999998
14,0.38384999999999997,51.89150606709493,-36.443968633664994,0.0020553
15,0.3478,55.59785338514817,-33.00674118262,0.0019126999999999998
16,0.31366,59.30420070320142,-29.801464717413996,0.0016045999999999999
17,0.28146,63.01054802125466,-26.773030598033998,0.0013324
18,0.25143000000000004,66.7168953393079,-23.868606451047,0.0013566
19,0.22392,70.42324265736114,-21.074643742968,0.0018414999999999998
20,0.19935,74.12958997541438,-18.432069513614998,0.0027857
21,0.17797000000000002,77.83593729346762,-16.110445096213,0.0036842
22,0.15967,81.54228461152087,-13.870369904142999,0.005331399999999999
23,0.14409999999999998,85.2486319295741,-12.107654870889997,0.0062357
24,0.13090000000000002,88.95497924762735,-10.57490607661,0.0071355
25,0.11979000000000001,92.66132656568058,-9.184339628091001,0.008241799999999999
26,0.11068,96.36767388373384,-8.291735845372,0.0082891
27,0.10339,100.07402120178708,-7.170786568531,0.009739
28,0.09764400000000001,103.78301213418986,-6.4386858456875995,0.010356
29,0.09308799999999999,107.48935945224311,-5.879290668995197,0.010772
30,0.089405,111.19570677029634,-5.2560951879245,0.011701999999999999
31,0.086348,114.90205408834957,-5.245971525249199,0.010713
32,0.08375200000000001,118.60840140640283,-4.876263601040801,0.011127
33,0.081485,122.31474872445607,-4.6414033513565,0.011183
34,0.079476,126.02109604250931,-4.388524317560401,0.011387999999999999
35,0.077664,129.72744336056255,-4.357404894345599,0.010889
36,0.076003,133.4337906786158,-4.070710756398698,0.011328
37,0.074461,137.14013799666904,-3.8050023730669005,0.011734
38,0.07302800000000001,140.8464853147223,-3.8164988910211997,0.011214
39,0.07165600000000001,144.5528326327755,-3.5902330142824,0.01154
40,0.070364,148.25917995082875,-3.636069964175599,0.010948000000000001
41,0.06912299999999999,151.965527268882,-3.507691666046699,0.010978
42,0.067925,155.67187458693525,-3.447974237232499,0.010784
43,0.066761,159.37822190498846,-3.3471853097368998,0.010744
44,0.065623,163.08456922304174,-3.2396890008967003,0.010736
45,0.06451,166.790916541095,-3.248076825379,0.010334000000000001
46,0.063419,170.4972638591482,-3.2349713271850997,0.010014
47,0.062333,174.20361117720145,-3.2078618556557004,0.0097443
48,0.061258,177.9099584952547,-3.1242425227881996,0.0096745
49,0.060183,181.61630581330795,-3.0428695899206994,0.0095969
50,0.059115,185.32265313136116,-2.9950616543835,0.0094051
51,0.058035,189.0290004494144,-2.9636926948514994,0.009152200000000001
52,0.05695,192.7353477674677,-3.0971821086549998,0.008325200000000001
53,0.055850000000000004,196.44433869987043,-2.900529842465,0.0086395
54,0.054741000000000005,200.1506860179237,-2.9716844082789002,0.008020900000000001
55,0.053623000000000004,203.85703333597692,-3.0475002060967,0.0073831
56,0.052481,207.56338065403017,-2.9387539559249,0.0073781
57,0.051311999999999997,211.2697279720834,-3.0274762017648,0.006678399999999999
58,0.050118,214.97607529013663,-3.0270119142821996,0.00628
59,0.048895,218.68242260818988,-3.0805143521454994,0.0056845
60,0.047633,222.38876992624313,-3.1187626620257,0.0051289
61,0.046335,226.09511724429638,-3.1393102999214997,0.0046226999999999996
62,0.044987,229.80146456234965,-3.1887008711723,0.0039996
63,0.043581999999999996,233.50781188040284,-3.1808381784477993,0.0035562
64,0.042116999999999995,237.21415919845612,-3.1904855657492988,0.0030319
65,0.04058,240.92315013085886,-3.185726809082,0.0025335
66,0.038963,244.62949744891213,-3.1978444257826997,0.0019497
67,0.037246999999999995,248.33584476696535,-3.1775139945263,0.0014454000000000001
68,0.035410000000000004,252.04219208501863,-3.106859237989,0.0010753
69,0.033466,255.74853940307187,-3.0795810308314,0.00051874
70,0.031382,259.4548867211251,-2.9943679970678,0.00011644
71,0.029144,263.16123403917834,-2.9199570220376,-0.00037496
72,0.026749000000000002,266.8728685859307,-2.7102788097421,-0.00044928
73,0.024196,270.57392867528483,-2.7023927148483997,-0.0012772
74,0.021481,274.27498876463903,-2.5606750360248998,-0.0016947
